Taxon,CopyNumber
Borreliella burgdorferi,20
Borrelia anserina,3
Borrelia hermsii,7
Brachyspira hyodysenteriae,8
Bradyrhizobium sp.,3
Bradyrhizobium sp. ANU289,1
Mycobacterium lepraemurium,1
Spiroplasma monobiae,2
Spiroplasma melliferum,2
Terriglobus sp. TAA 43,1
Terriglobus sp. TAA 48,1
Metamycoplasma orale,2
Mycobacterium leprae,4
Mycobacterium intracellulare,42
Thermoplasma acidophilum,2
Thermoproteus tenax,2
Halobacterium sp. GRB,1
Borreliella garinii,7
Borreliella afzelii,6
Desulfurococcus mucosus,2
Sulfolobus sp.,1
Wolbachia pipientis,12
Methylophilales bacterium HTCC2181,1
Acidobacteriaceae bacterium KBS 83,1
Wolbachia endosymbiont of Culex quinquefasciatus,1
Kamptonema sp. PCC 6506,1
Maritimibacter alkaliphilus,1
Chthoniobacter flavus,1
Saccharolobus solfataricus,13
Rickettsia conorii,6
Methanopyrus kandleri,1
Chlamydia pneumoniae,11
Pyrobaculum aerophilum,1
Pyrococcus furiosus,3
Buchnera aphidicola,36
Tropheryma whipplei,2
Chlamydia caviae,1
Leifsonia xyli,2
Coxiella burnetii,13
Mycobacterium avium,35
Helicobacter hepaticus,1
Wolbachia endosymbiont of Drosophila melanogaster,6
Rickettsia typhi,4
Mesomycoplasma hyopneumoniae,11
Picrophilus torridus,1
Mesomycoplasma mobile,1
Wolbachia endosymbiont of Brugia malayi,2
Thermotoga maritima,6
Mycobacterium tuberculosis,315
Archaeoglobus fulgidus,2
Dehalococcoides mccartyi,24
Nitrosomonas europaea,1
Chlamydia felis,1
Thermococcus kodakarensis,1
Orientia tsutsugamushi,9
Gemmatimonas aurantiaca,1
Candidatus Carsonella ruddii,10
Candidatus Vesicomyosocius okutanii,1
Hydrogenobacter thermophilus,2
Pyrococcus horikoshii,1
Aeropyrum pernix,1
Thermoplasma volcanium,1
Sulfurisphaera tokodaii,1
Malacoplasma penetrans,1
Thermosynechococcus vestitus,2
Bradyrhizobium diazoefficiens,18
Gloeobacter violaceus,1
Candidatus Blochmannia pennsylvanicus,2
Anaplasma marginale,2
Borrelia turicatae,4
Sulfolobus acidocaldarius,8
Candidatus Pelagibacter ubique,1
Rickettsia bellii,3
Ehrlichia canis,5
Nitrobacter winogradskyi,1
Erythrobacter litoralis,2
Hyphomonas neptunium,1
Salinibacter ruber,8
Anaplasma phagocytophilum,6
Ehrlichia chaffeensis,8
Neorickettsia sennetsu,1
Syntrophus aciditrophicus,1
Jannaschia sp. CCS1,1
Polaromonas sp. JS666,1
Nitrobacter hamburgensis,1
Mycobacterium ulcerans,6
Sphingopyxis alaskensis,1
Candidatus Koribacter versatilis,1
Roseobacter denitrificans,2
Rubrobacter xylanophilus,2
Rickettsia canadensis,2
Nitrosomonas eutropha,1
Acidothermus cellulolyticus,1
Candidatus Ruthia magnifica,1
Hyperthermus butylicus,1
Pyrobaculum islandicum,1
Thermofilum pendens,1
Methylibium petroleiphilum,1
Pyrobaculum calidifontis,1
Methanoculleus marisnigri,1
Staphylothermus marinus,1
Polynucleobacter asymbioticus,5
Pyrobaculum arsenaticum,1
Rickettsia massiliae,1
Thermotoga petrophila,1
Phenylobacterium zucineum,1
Rickettsia rickettsii,11
Parvibaculum lavamentivorans,1
Methanoregula boonei,1
Pseudothermotoga lettingae,1
Ignicoccus hospitalis,1
Rickettsia akari,1
Caldivirga maquilingensis,1
Thermococcus onnurineus,1
Desulfosudis oleivorans,1
Nitrosopumilus maritimus,1
Thermotoga neapolitana,1
Candidatus Korarchaeum cryptofilum,1
Thermotoga sp. RQ2,1
Methylacidiphilum infernorum,1
Borrelia recurrentis,1
Pyrobaculum neutrophilum,1
Opitutus terrae,1
Metamycoplasma arthritidis,2
Elusimicrobium minutum,1
Chloroherpeton thalassium,1
Candidatus Amoebophilus asiaticus,1
Prosthecochloris aestuarii,1
Desulfurococcus amylolyticus,2
Thermodesulfovibrio yellowstonii,1
Afipia carboxidovorans,3
Rickettsia peacockii,1
Thioalkalivibrio sulfidiphilus,1
Wolbachia sp. wRi,1
Thermococcus gammatolerans,1
Sulfolobus islandicus,9
Neorickettsia risticii,1
Thermococcus sibiricus,1
Acidobacterium capsulatum,1
Blattabacterium sp. (Blattella germanica),1
Rickettsia prowazekii,10
Rickettsia africae,1
Halorhabdus utahensis,1
Lancefieldella parvula,1
Candidatus Puniceispirillum marinum,1
Anaplasma centrale,1
Rhodothermus marinus,4
Thermotoga naphthophila,1
Pirellula staleyi,1
Conexibacter woesei,1
Archaeoglobus profundus,1
Ferroglobus placidus,1
Thioalkalivibrio sp. K90mix,1
Thermocrinis albus,1
Aciduliprofundum boonei,1
Ehrlichia ruminantium,10
Chlamydia abortus,11
Natronomonas pharaonis,1
Mycobacterium liflandii,2
Mycoplasma genitalium,5
Mycoplasma pneumoniae,79
Mycobacteroides abscessus,69
Thermosphaera aggregans,2
Staphylothermus hellenicus,1
Segniliparus rotundus,1
Brachyspira murdochii,1
Starkeya novella,1
Blattabacterium sp. (Periplaneta americana),1
Hyphomicrobium denitrificans,2
Brachyspira pilosicoli,3
Olsenella uli,1
Desulfarculus baarsii,1
Acidilobus saccharovorans,1
Mesomycoplasma hyorhinis,7
Candidatus Endomicrobium trichonymphae,2
Vulcanisaeta distributa,1
Thermococcus barophilus,2
Thermococcus sp. AM4,1
Ferroplasma acidarmanus,1
Parvularcula bermudensis,1
Roseobacter litoralis,1
Mycobacterium kansasii,3
Granulicella mallensis,1
Granulicella tundricola,1
Mycoplasma suis,2
Terriglobus saanensis,1
Candidatus Blochmannia vafer,1
Mycoplasma haemofelis,2
Thermus scotoductus,1
Vulcanisaeta moutnovskia,1
Chlamydia psittaci,20
Thermoproteus uzoniensis,1
Archaeoglobus veneficus,1
Candidatus Pelagibacter sp. IMCC9063,1
Desulfobacca acetoxidans,1
Mycoplasmopsis pulmonis,2
Pyrococcus abyssi,1
Rhodopirellula baltica,1
Nitrosospira multiformis,1
Halalkalicoccus jeotgali,1
Chlamydia pecorum,7
Metallosphaera cuprina,1
Pyrococcus sp. NA2,1
Acidianus hospitalis,1
Thermodesulfobacterium geofontis,1
Pyrococcus yayanosii,1
Pseudothermotoga thermarum,1
Candidatus Moranella endobia,2
Candidatus Midichloria mitochondrii,1
Thermococcus sp. 4557,1
Streptococcus pseudopneumoniae,1
Borreliella bissettiae,1
Brachyspira intermedia,1
Pyrolobus fumarii,1
Chloracidobacterium thermophilum,2
Micavibrio aeruginosavorus,2
Thioalkalivibrio paradoxus,1
Halobacterium sp. DL1,1
Blattabacterium sp. (Mastotermes darwiniensis),1
Pseudoxanthomonas spadix,1
Pyrobaculum ferrireducens,1
Methanothrix harundinacea,1
Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu,1
Simkania negevensis,1
Rickettsia slovaca,2
Mycoplasma haemocanis,1
Thermococcus litoralis,1
Hyphomicrobium sp. MC1,1
Mycobacterium canettii,1
Ignavibacterium album,1
Fervidicoccus fontis,1
Mycobacterium sp. MOTT36Y,1
Blattabacterium sp. (Blaberus giganteus),1
Pyrococcus sp. ST04,1
Hydrogenophaga sp. PBC,1
Thermogladius calderae,1
Thermococcus cleftensis,1
Desulfomonile tiedjei,1
Microlunatus phosphovorus,1
Mycobacterium paraintracellulare,9
Mycoplasma wenyonii,1
Melioribacter roseus,1
Candidatus Mycoplasma haemolamae,1
Rickettsia japonica,14
Rickettsia philipii,1
Rickettsia amblyommatis,3
Rickettsia rhipicephali,2
Phycisphaera mikurensis,1
Rickettsia australis,1
Rickettsia montanensis,1
Rickettsia parkeri,3
Bradyrhizobium cosmicum,2
Caldisericum exile,1
Pararhodospirillum photometricum,1
secondary endosymbiont of Ctenarytaina eucalypti,1
secondary endosymbiont of Heteropsylla cubana,1
Candidatus Portiera aleyrodidarum,13
Bradyrhizobium sp. CCGE-LA001,1
Candidatus Nitrosopumilus koreensis,1
Candidatus Nitrosopumilus sediminis,1
Cycloclasticus sp. P1,1
Candidatus Methanomethylophilus alvus,3
Candidatus Nitrososphaera gargensis,1
Methylocystis sp. SC2,1
Methanoculleus bourgensis,2
Cardinium endosymbiont of Encarsia pergandiella,1
Wolbachia endosymbiont of Onchocerca ochengi,1
Synechococcus sp. PCC 6312,1
Caldisphaera lagunensis,1
Candidatus Endolissoclinum faulkneri,2
Spiribacter salinus,1
Thioalkalivibrio nitratireducens,1
Methanoregula formicica,1
Candidatus Blochmannia chromaiodes,1
Blattabacterium sp. (Blatta orientalis),1
Mycobacterium haemophilum,1
Pseudobdellovibrio exovorus,1
Blattabacterium cuenoti,23
Nitrosospira lacus,1
Methylobacterium mesophilicum,1
Wolbachia endosymbiont of Drosophila simulans,5
Archaeoglobus sulfaticallidus,1
Candidatus Saccharimonas aalborgensis,1
Spiroplasma chrysopicola,1
Spiroplasma syrphidicola,1
Salinarchaeum sp. Harcht-Bsk1,1
Candidatus Methanomassiliicoccus intestinalis,2
Spiroplasma taiwanense,1
Spiroplasma diminutum,1
Candidatus Profftella armatura,3
Cycloclasticus zancles,1
Borrelia miyamotoi,25
Thermofilum adornatum,2
Bacillus sp. NSP9.1,1
Halorhabdus tiamatea,1
Chlamydia gallinacea,2
Blattabacterium sp. (Nauphoeta cinerea),1
Mycoplasma parvum,1
Gloeobacter kilaueensis,1
Spiribacter curvatus,1
Rickettsia monacensis,1
Hyphomicrobium nitrativorans,1
Pseudothermotoga elfii,1
Pseudothermotoga hypogea,2
Ehrlichia muris,1
Thermocrinis ruber,1
Candidatus Babela massiliensis,1
Spiroplasma mirum,2
Thermococcus paralvinellae,1
Mesomycoplasma bovoculi,1
