#NAME,V.A.0H,V.B.0H,V.C.0H,V.D.0H,V.E.0H,V.CN.A.24H,V.CN.B.24H,V.CN.C.24H,V.CN.D.24H,V.CN.E.24H,CEL.A.24H,CEL.B.24H,CEL.C.24H,CEL.D.24H,CEL.E.24H
#CLASS,A,B,C,D,E,A,B,C,D,E,A,B,CEL.C.24H,D,E
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella,0.00769765179936084,0,0,0,0.000194525496734751,0.293455606502709,0.00175072947061276,0.0193136028900931,0.468667500347367,0.411921634014173,0.456718076976518,0.00364040572460748,0.00572460747533695,0.308072808114492,0.275837154369876
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;Dorea_formicigenerans,0.0135889954147561,0.0059191329720717,0.00527997776851466,0.011032374600528,0.0144782548284007,0.100819786021954,0.0135612060580798,0.0401834097540642,0.0526608309017646,0.110212588578574,0.0466305405029874,0.0273447269695707,0.0774767264137835,0.0465193830762818,0.0768931499235793
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;,0.059969431707656,0.0552730304293456,0.132805335556482,0.235792691399194,0,0.0328470195914965,0.00419619285813533,0.0100597471168542,0.00339030151451994,0,0.0122828956509657,0.00414061414478255,0.0490204251771571,0.0103098513269418,5.55787133527859e-05
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella,0.0355981659024594,0.0190079199666528,0.147505905238294,0.0949840211199111,0.0410726691677088,0.0266499930526608,0.035570376545783,0.0377379463665416,0.0315131304710296,0.0143948867583715,0.0152563568153397,0.0335695428650827,0.0284563012366264,0.024399055161873,0.00992080033347228
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0.00614144782548284,0.00102820619702654,0,0.00111157426705572,0.00252883145755176,0.076309573433375,0.0709740169515076,0.00094483812699736,0.0383493122134223,0.0246491593719605,0.0744754758927331,0.0626649993052661,0.00141725719049604,0.102626094205919,0.0564123940530777
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,0,0,0,0,0,0.00108378491037932,0.328720300125052,0,0,0,0,0.235097957482284,0,0,8.33680700291788e-05
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;Slackia_isoflavoniconvertens,0.0142003612616368,0.00047241906349868,0.00694733916909824,0.0160900375156315,0,0.0299569264971516,0.013505627344727,0.0574683896067806,0.00280672502431569,0,0.0135889954147561,0.0111991107405864,0.0892038349312213,0.000583576490204252,0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium,0.0589412255106294,0.0278727247464221,0.019591496456857,0,0.00725302209253856,0.0122551062942893,0.00336251215784355,0.0592191190773934,0,0.000361261636793108,0.0118660553008198,0.00605807975545366,0.0730026399888843,0,0.000722523273586216
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;,0.00894817284979853,0,0.00611365846880645,0,0,0.0823954425455051,0.00461303320828123,0.0247603167986661,0,0,0.0671390857301653,0.00216756982075865,0.0422120327914409,0,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0,0,0.00408503543142976,0.0189523412533,0.00408503543142976,0.00333472280116715,0.00469640127831041,0.0502709462275948,0.0133388912046686,0.00258441017090454,0.00186188689731833,0.0215367514242045,0.107266916770877
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus,0,0,0,0,0,0,0.0771710434903432,0.0739196887592052,0,0,0,0.0444073919688759,0.0505766291510352,0,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0.000611365846880645,0.000194525496734751,0,0.0011671529804085,0,0.00166736140058358,0.0219535917743504,0.00414061414478255,0.0538001945254967,0.00322356537446158,0.00213978046408226,0.0164512991524246,0.00369598443796026,0.0918160344588023,0.00477976934833959
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,0.0317632346811171,0.00216756982075865,0.00411282478810616,0.0723912741420036,0.0913158260386272,0.00105599555370293,0.000111157426705572,0.000527997776851466,0.00200083368070029,0.0011949423370849,0.00369598443796026,0.00172294011393636,0.00227872724746422,0.00494650548839794,0.0126441572877588
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;,0.000555787133527859,0.00464082256495762,0.000861470056968181,0.00247325274419897,0.0520772544115604,0.001556203973878,0,0.00125052105043768,0.00152841461720161,0.0497429484507434,0.000500208420175073,0.000277893566763929,0.00622481589551202,0.0043351396415173,0.0568014450465472
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia,0.0221481172710852,0.0281228289565097,0.0305405029873558,0.0396276226205363,0.047241906349868,0.00208420175072947,0.000222314853411144,0.00219535917743504,0.00333472280116715,0.00522439905516187,0.00163957204390718,0.000361261636793108,0.00714186466583299,0.00283451438099208,0.00138946783381965
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus,0,0,0,0,0,0,0.0982631652077254,0.0127553147144644,0,0,0,0.0603306933444491,0.00686397109906906,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_1,0,0,0,0,0,0.000222314853411144,0.00869806863971099,0,0,0.000611365846880645,0.000250104210087536,0.181075448103376,0,0,0.00603029039877727
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9,0.000389050993469501,0.0035292482979019,0,0,8.33680700291788e-05,0.000639155203557038,0.00125052105043768,0.124246213700153,0,0.000722523273586216,0.00497429484507434,0.000972627483673753,0.0339585938585522,0,0.000444629706822287
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0,0,0.000277893566763929,0.0126441572877588,0.0461025427261359,0.00736417951924413,0.00369598443796026,0.0051132416284563,0.0106155342503821,0.0459358065860775,0.00405724607475337,0.0106155342503821,0.0115881617340559
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;,0.0348478532721967,0.0269834653327775,0.0577184938168681,0,0,0.00461303320828123,0.00369598443796026,0.00680839238571627,0,0,0.0133388912046686,0.00578018618868973,0.0173127692093928,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,0,0,0,0,0,0.000972627483673753,0.0969848548006114,0.000833680700291788,0,0,0.001556203973878,0.050493261081006,0.000750312630262609,0,0
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium]_coprostanoligenes_group;;,0.0374600527997777,0.0023620953174934,0,2.77893566763929e-05,0.0965680144504655,0.00186188689731833,0,0,0,0.00113936362373211,0.00100041684035015,0,0,0,0.00241767403084619
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum,0.0328192302348201,0.00566902876198416,0.0303737668472975,0,0.0631929970821175,0.000277893566763929,0.000111157426705572,0.00141725719049604,0,0.000722523273586216,0.000250104210087536,0.000611365846880645,0.00219535917743504,0,0.00308461859107962
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;,0.010254272613589,0.0078921772960956,0.000194525496734751,0.000527997776851466,0.00477976934833959,0.0157287758788384,0.0039460886480478,0.0166458246491594,0.000333472280116715,0.0113658468806447,0.00608586911213005,0.00483534806169237,0.0177851882728915,0.00130609976379047,0.0323468111713214
