#Name,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,J1.A.24H,J1.B.24H,J1.C.24H,J1.D.24H,J1.E.24H,J2.A.24H,J2.B.24H,J2.C.24H,J2.D.24H,J2.E.24H
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,0.009313941,0.018425404,0.14294874,0.156818412,0.0017548,0.000303715,0.007862856,0.025039652,0.010967502,0.002733439,0.029730368,0.204974184,0.428070057,0.345155739,0.001349846,0.070664462,0.47507846,0.262477643,0.186380049,0.067492323,0.061046806,0.07454527,0.152600142,0.215334256,0.013903418
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella,0.045017379,0.023082374,0.004791955,0.017109304,0.031552661,0.031181453,0.096109068,0.168022137,0.242229946,0.077683663,0.010157595,0.0021935,0.006006817,0.029595384,0.004758209,0.148078156,0.015759457,0.033611177,0.038841832,0.015860696,0.393379003,0.070833193,0.057267236,0.134984645,0.149225526
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella,0.000134985,0,0.001147369,0.003610839,6.75E-05,0.46883542,0.085175311,0.202713191,0.236695576,0.00334087,0.185030203,0.023791044,0.026693214,0.070124523,0.000134985,0.041035332,0.003475855,0.001383593,0.016400634,0,0.028245537,0,0.000607431,0.002598454,0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;,0.102284615,0.134714676,0,0.096514022,0.153781257,0.007322917,0.031417676,0,0.003037155,0.022542436,0.006141801,0.001518577,0,0.026355752,0.004387001,0.1358283,0.27094793,0.220294941,0.027334391,0.083488003,0.076637532,0.255154726,0,0.077312456,0.093476867
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiumsensustrict1,0,0,0,0,0,0.051766612,0.008908987,0.000134985,0,3.37E-05,0.625687578,0.000776162,0,0,0,0.001822293,0,0,0,0,0.003644585,0,0,0,0
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;Megasphaeraelsdenii,0.002969662,0.009280194,0,0,0.003948301,0.002800931,0.058144636,0,0,0.012351095,0.003880809,0.267910775,0,0,0.013565957,0.376337192,0.088684912,0.261667735,0,0.074781494,0.000843654,0.002227247,0,0.000101238,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,0,0,0,0,0.015691965,0.08237438,0.001957277,0.001079877,0.003239631,0.213343232,0.001687308,0,0.0008774,0.001282354,0.139304154,0.065163838,0.000404954,0.000404954,0.000641177,0.227246651,0.027368137,0.001417339,0.001079877,0.011642426,0.019808997
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,0,0,0.009988864,0.032835015,0,0,0,0.000809908,0.002159754,0,0,0,0.034421085,0.154658658,0.000708669,0,0,0,0.436169136,0.003138393,0,0,0.015489488,0.054871258,0.0008774
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus,0,0,0.000371208,0.001687308,0.0008774,0,0,0.000371208,0.000337462,0.000809908,0,0,0.018391658,0.004893193,0.259575473,0,0,0,0.041878986,0.075523909,0,0,0.00246347,0.006479263,0.050450511
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0.001856039,0,0.05230655,0.017514258,0.000168731,0.047379611,0.027874329,0.095332906,0.034792292,0.001687308,0.02180002,0.003239631,0.066749907,0.039550501,0.000202477,0.001822293,0.000269969,0.000236223,0.010326325,0,0.014544596,0.003205885,0.054837512,0.04764958,0.000573685
